conglo,agb_kg_total,area_m2_total,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,stateProvince,agb_mg_ha,in_window
161476,1002.1152950044693,1169,7.00523,-74.02463,10606,2017,Antioquia,8.572414841783313,True
162373,18107.77101512,3598,7.14025,-73.48458,10606,2016,Santander,50.32732355508616,True
163314,14797.470563191262,2737,7.81531,-76.18485,10606,2017,Córdoba,54.06456179463377,True
163735,6687.048129908477,1169,4.71,-69.83921,10606,2015,Vichada,57.20314910101349,True
165785,7181.3962782197505,3136,3.76491,-72.40447,10606,2016,Meta,22.89986058105788,True
166020,105379.25801133155,4305,-2.17568,-70.6493,10606,2016,Amazonas,244.7834100147074,True
167792,1724.077649473167,462,6.19515,-76.04984,10606,2016,Antioquia,37.31769804054474,True
167995,12347.943509876197,2891,7.95033,-76.18485,10606,2016,Córdoba,42.711669006835685,True
168069,415.98117144954284,770,11.73071,-72.53948,10606,2015,La Guajira,5.402352875968089,True
168374,83851.99174076697,4305,1.19965,-69.97423,10606,2015,Vaupés,194.77814573929612,True
168528,35854.080479949,4305,8.49038,-77.26496,10606,2015,Chocó,83.2847397908223,True
169529,2451.4353655812265,770,7.54529,-74.83471,10606,2016,Antioquia,31.836822929626322,True
169971,24745.05160348645,3598,7.54529,-73.34957,10606,2016,Santander,68.77446248884505,True
17034,11669.89238861916,2737,3.08984,-71.99943,10606,2017,Meta,42.63753156236449,True
170391,11462.068620634447,1722,2.6848,-72.13444,10606,2015,Guaviare,66.56253554375405,True
170719,1237.1333062320655,308,6.19515,-70.51428,10606,2016,Casanare,40.166665786755374,True
17072,93.26178128416822,308,4.71,-73.75461,10606,2017,Cundinamarca,3.0279799118236435,True
17142,10600.342463697421,2030,1.19965,-77.94002,10606,2015,Nariño,52.21843578176069,True
171425,48049.76876483741,3444,7.95033,-74.56469,10606,2017,Antioquia,139.51733090835486,True
171484,11639.218185977235,2737,7.00523,-71.18935,10606,2015,Arauca,42.52545921073158,True
171576,15564.126170729707,2184,9.84052,-75.23975,10606,2017,Bolívar,71.26431396854261,True
172397,9048.350256285918,1477,4.57499,-75.50978,10606,2016,Quindío,61.261680814393486,True
173495,23224.020006655846,3598,2.41477,-72.80951,10606,2015,Guaviare,64.54702614412408,True
174030,1940.747895070863,616,11.19065,-74.15965,10606,2016,Magdalena,31.505647647254268,True
17447,13582.061646629172,2737,4.16995,-74.15965,10606,2016,"Bogotá, D.C.",49.623900791484004,True
175543,698.9639224674638,707,5.11504,-69.16415,10606,2017,Vichada,9.88633553702212,True
175698,17508.48346150148,2737,3.76491,-74.6997,10606,2016,Tolima,63.969614400809206,True
176072,81503.90717648248,4305,1.06464,-71.32436,10606,2016,Vaupés,189.32382619391979,True
176692,6106.295462972485,1015,3.35987,-72.94453,10606,2017,Meta,60.16054643322646,True
176982,106764.71357822929,4305,7.54529,-76.85992,10606,2015,Chocó,248.00165755686245,True
177139,3164.9239061320905,1414,8.22035,-76.04984,10606,2016,Córdoba,22.382771613381124,True
178272,9051.343663718617,2184,1.46968,-70.51428,10606,2015,Vaupés,41.44388124413286,True
178960,163009.9191907891,3444,3.35987,-72.80951,10606,2015,Meta,473.3156770928836,True
179896,6469.920486109927,861,3.08984,-77.12994,10606,2017,Cauca,75.14425651695618,True
181450,1960.8139091248736,154,6.33017,-75.10474,10606,2015,Antioquia,127.32557851460217,True
181679,8670.241420948669,3136,6.06014,-68.21905,10606,2016,Vichada,27.647453510678154,True
181738,59417.55319615077,4305,4.57499,-69.02913,10606,2017,Vichada,138.01986805145359,True
183622,71155.42140756178,3444,2.81981,-72.13444,10606,2015,Guaviare,206.60691465610273,True
183737,33361.46898244882,2891,5.92513,-69.29916,10606,2017,Vichada,115.3976789430952,True
183763,90841.8638506618,4151,4.30496,-73.75461,10606,2016,Cundinamarca,218.84332414035603,True
184780,51.44568226727981,308,2.27976,-76.85992,10606,2016,Cauca,1.6703143593272665,True
185986,16220.186960467756,3290,5.52008,-76.58989,10606,2016,Chocó,49.3014801230023,True
