plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
GUAN_043,GUAN,vst_GUAN_2022,2022,tower,800.0,42,8,0.8095238095238095,False,4.655126605118653
GUAN_043,GUAN,vst_GUAN_2023,2023,tower,800.0,36,6,0.8333333333333334,False,3.895590198224708
GUAN_043,GUAN,vst_GUAN_2024,2024,tower,800.0,36,6,0.8333333333333334,False,4.134991273701137
GUAN_045,GUAN,vst_GUAN_2016,2016,tower,800.0,94,1,0.9893617021276596,False,0.0067093002983108566
GUAN_045,GUAN,vst_GUAN_2017,2017,tower,800.0,94,1,0.9893617021276596,False,0.007552114814107363
GUAN_045,GUAN,vst_GUAN_2018,2018,tower,800.0,49,1,0.9795918367346939,False,0.007552114814107363
GUAN_045,GUAN,vst_GUAN_2021,2021,tower,800.0,47,1,0.9787234042553191,False,0.009423046759781764
GUAN_047,GUAN,vst_GUAN_2017,2017,tower,800.0,24,4,0.8333333333333334,False,0.04206025437901569
GUAN_047,GUAN,vst_GUAN_2021,2021,tower,800.0,24,5,0.7916666666666666,False,0.07100979557641525
GUAN_048,GUAN,vst_GUAN_2016,2016,tower,800.0,76,2,0.9736842105263158,False,0.08306761029804378
GUAN_048,GUAN,vst_GUAN_2019,2019,tower,800.0,37,1,0.972972972972973,False,0.04153380514902189
GUAN_048,GUAN,vst_GUAN_2020,2020,tower,800.0,38,1,0.9736842105263158,False,0.0440350591302271
GUAN_048,GUAN,vst_GUAN_2021,2021,tower,800.0,38,1,0.9736842105263158,False,0.046625626668646794
GUAN_048,GUAN,vst_GUAN_2022,2022,tower,800.0,38,1,0.9736842105263158,False,0.046625626668646794
GUAN_048,GUAN,vst_GUAN_2023,2023,tower,800.0,37,1,0.972972972972973,False,0.046625626668646794
GUAN_048,GUAN,vst_GUAN_2024,2024,tower,800.0,35,1,0.9714285714285714,False,0.052079083391153476
GUAN_049,GUAN,vst_GUAN_2016,2016,tower,800.0,116,27,0.7672413793103449,False,0.2688668758570467
GUAN_049,GUAN,vst_GUAN_2019,2019,tower,800.0,57,13,0.7719298245614035,False,0.14351475900892194
GUAN_049,GUAN,vst_GUAN_2020,2020,tower,800.0,57,18,0.6842105263157895,False,0.2346977591603376
GUAN_049,GUAN,vst_GUAN_2021,2021,tower,800.0,50,10,0.8,False,0.12267619681210343
GUAN_049,GUAN,vst_GUAN_2022,2022,tower,800.0,47,8,0.8297872340425532,False,0.12267011093942674
GUAN_049,GUAN,vst_GUAN_2023,2023,tower,800.0,47,8,0.8297872340425532,False,0.13589011431632486
GUAN_049,GUAN,vst_GUAN_2024,2024,tower,800.0,46,9,0.8043478260869565,False,0.15235022486725625
GUAN_051,GUAN,vst_GUAN_2016,2016,tower,800.0,104,12,0.8846153846153846,False,0.9932742953177288
GUAN_051,GUAN,vst_GUAN_2021,2021,tower,800.0,55,3,0.9454545454545454,False,0.39731193851863444
GUAN_052,GUAN,vst_GUAN_2016,2016,tower,800.0,96,5,0.9479166666666666,False,0.029892701242291795
GUAN_052,GUAN,vst_GUAN_2021,2021,tower,800.0,44,2,0.9545454545454546,False,0.011749337966477261
GUAN_054,GUAN,vst_GUAN_2016,2016,tower,800.0,54,16,0.7037037037037037,False,3.033550219404155
